"Colles" "Sackin" "Cophenetic"
"3" 1 1 1
"4" 0.6571429 0.6571429 0.6571429
"5" 0.4230769 0.4230769 0.4230769
"6" 0.2372881 0.246368 0.2372881
"7" 0.1459233 0.1716375 0.1312296
"8" 0.113333333333333 0.136333333333333 0.071
"9" 0.0763333333333333 0.126 0.055
"10" 0.0583333333333333 0.109 0.0276666666666667
"11" 0.0593333333333333 0.092 0.0243333333333333
"12" 0.0393333333333333 0.072 0.015
"13" 0.0343333333333333 0.0623333333333333 0.0176666666666667
"14" 0.0363333333333333 0.0636666666666667 0.0123333333333333
"15" 0.037 0.0546666666666667 0.01
"16" 0.0273333333333333 0.053 0.00533333333333333
"17" 0.02 0.039 0.00466666666666667
"18" 0.019 0.0376666666666667 0.00533333333333333
"19" 0.02 0.0346666666666667 0.00433333333333333
"20" 0.012 0.037 0.00566666666666667
"21" 0.0163333333333333 0.036 0.00433333333333333
"22" 0.0183333333333333 0.0333333333333333 0.00233333333333333
"23" 0.0176666666666667 0.0333333333333333 0.00333333333333333
"24" 0.0113333333333333 0.0283333333333333 0.00233333333333333
"25" 0.012 0.023 0.00333333333333333
"26" 0.016 0.027 0.00333333333333333
"27" 0.0113333333333333 0.0213333333333333 0.00233333333333333
"28" 0.0166666666666667 0.0213333333333333 0.00133333333333333
"29" 0.0136666666666667 0.0243333333333333 0.001
"30" 0.012 0.02 0.002
"31" 0.015 0.0213333333333333 0.000666666666666667
"32" 0.012 0.0186666666666667 0.000666666666666667
"33" 0.0116666666666667 0.0193333333333333 0.000666666666666667
"34" 0.00833333333333333 0.0156666666666667 0.000666666666666667
"35" 0.00933333333333333 0.0196666666666667 0.00133333333333333
"36" 0.00833333333333333 0.02 0.000666666666666667
"37" 0.00733333333333333 0.0163333333333333 0.000333333333333333
"38" 0.00966666666666667 0.0173333333333333 0.002
"39" 0.00633333333333333 0.0163333333333333 0.001
"40" 0.01 0.0163333333333333 0.000333333333333333
"41" 0.00866666666666667 0.011 0.000666666666666667
"42" 0.007 0.0143333333333333 0.00133333333333333
"43" 0.00766666666666667 0.015 0.00133333333333333
"44" 0.008 0.0143333333333333 0.000666666666666667
"45" 0.009 0.0106666666666667 0.000666666666666667
"46" 0.00766666666666667 0.016 0.00133333333333333
"47" 0.009 0.014 0.000333333333333333
"48" 0.00766666666666667 0.00966666666666667 0
"49" 0.00933333333333333 0.0103333333333333 0.000666666666666667
"50" 0.007 0.0136666666666667 0
