"Colles-Like" "Sackin" "Cophenetic"
28.3883941537511 251 2784
457.223521628856 610 8379
145.432348694127 178 984
102.495517021435 221 2180
42.0988377798788 83 215
109.660654051789 177 973
25.4293989821894 97 118
98.8105214244383 139 666
34.3258501957489 83 292
460.535770864735 579 7919
70.4226711341629 177 1528
74.9074767990549 146 868
95.9067128310919 170 1168
19.4139665989935 60 198
1834.48874931714 2476 70749
114.269614024518 299 3960
61.715620065426 107 421
57.4075060634711 87 257
197.736965329734 287 2078
377.613817661944 432 4181
213.045633613326 261 1721
48.0522087790536 97 229
372.08566039584 498 5746
261.523083178035 285 2165
1148.15012126942 1442 35016
906.400878391245 1189 27490
260.247360821069 352 3252
1251.48363218367 1845 32562
14.0329459266263 29 37
116.515975269564 196 790
24.2387247823545 47 86
4107.8259894306 4646 346015
148.83427497937 260 1453
31.8930589241506 61 138
160.741016977719 212 1326
14414.3869113591 15119 2278044
95.6791767724519 137 560
52.304616635607 71 185
224.25442221577 385 4079
45.9260048507769 92 240
533.251945211799 644 9041
449.629630159047 913 23601
303.467077384368 725 17192
332.963535168133 429 4593
135.226569838399 198 1032
441.565930424304 663 9593
34.4445036380827 65 121
1427.53331744498 1711 49329
415.885488370924 556 7205
85.4733979167237 145 567
31.4678181384953 76 177
149.259515765025 213 1087
36.9959483520147 89 235
38.7603246224574 59 155
1545.91320881334 2083 75951
99.8131421464249 265 3404
72.7161743470634 115 393
472.017272077429 684 8411
144.090960529198 255 2139
142.880903980195 188 817
58.6832284204372 102 366
25.5144471393205 38 57
332.430836462606 551 5894
96.9548991294179 122 487
372.510928234079 576 6338
220.274726969467 310 2507
403.693615787575 543 7148
162.191484049532 198 1242
445.227102581143 667 9926
94.2483351982414 194 1460
520.069480856483 808 8904
93.1277320585199 227 806
356.788233462084 517 6109
30.5680896324827 74 285
245.666904209018 843 54327
44.6502824938109 57 121
14.0329459266263 29 37
464.883182214584 724 11286
97.7992266127067 274 3265
409.506876586094 675 8749
926.94772691933 1201 27556
112.26356741301 174 942
293.416142102186 406 3087
95.06102046718 188 936
188.806908830972 238 1640
415.966076390202 578 7543
82.071471631481 142 623
342.64529809281 1640 88899
48.0522087790536 122 300
799.877917817698 1007 20573
26.6270457829019 55 139
29.3416142102186 75 167
1247.18187141456 1634 46289
301.070476243982 404 4063
211.76991125636 304 2137
88.0248426306558 145 561
112.26356741301 204 866
232.332523781331 603 5753
2.55144471393205 20 12
486.352124576142 596 6876
47.3444459204518 107 370
3686.41237084616 4083 227299
1266.20679006969 1599 31004
219.424245398156 428 3553
342.31883245255 529 5128
105.88495562818 169 641
20.4115577114564 54 84
2806.34451187771 3338 183245
41.3744186031628 122 680
166.624857685403 216 1449
113.539289769976 123 502
61.5956659120572 179 1662
149.259515765025 183 1065
349.547925808691 432 3058
759.48004318044 1100 23451
40.5726193521046 62 165
617.449620771556 924 13516
107.160677985146 168 704
1038.863239356 1247 18964
507.312257286823 711 9785
464.788178721289 721 9512
112.26356741301 140 663
7.65433414179615 14 10
52.304616635607 91 285
175.5222195836 294 3402
1328.80170381698 1364 23000
1063.95244570967 1282 30311
61.4037076652447 150 855
30.7344501965295 78 225
39.1658594538804 84 372
597.463303845755 664 9605
48.5376359835159 92 290
96.9548991294179 162 619
628.946616652867 855 13197
113.503668136925 262 2051
258.971638464103 393 3229
32.318299709806 66 166
105.88495562818 159 695
6165.5661512168 6191 394553
3.82716707089808 9 4
47.6346384160269 135 503
61.2346731343692 78 238
1815.35291396265 2706 101311
2745.35451219089 2970 132544
91.3352685443637 166 1162
244.938692537477 302 2383
444.801861795488 711 9451
236.346099976866 360 3570
7.65433414179615 30 25
301.259985983769 504 7632
542.182001710561 751 11538
502.634608644614 820 8179
273.004584390729 392 3606
964.083556981804 1215 27587
64.1278599436872 115 412
604.020534012587 773 12467
133.950847481433 207 1053
2057.75565645482 2185 77404
649.954286197672 868 13349
65.0618402052673 89 277
306.488873273461 729 17254
103.732446126068 267 2294
12.7572235696603 24 26
478.39588386226 655 8311
221.025241051449 961 72429
320.031592574805 1010 32538
155.638127549855 206 974
218.14852304119 331 2525
281.242692137734 430 3856
54.5354874177361 156 1144
85.4733979167237 147 596
86.5137321337335 265 1610
22.3688314664595 58 154
588.108006561338 699 9796
636.054136434159 928 21447
337.341613228829 472 5923
447.61542358169 520 6191
1070.3310574945 1203 23267
336.365461453375 545 5427
1182.70911293501 1463 39013
3800.37690140179 4535 264652
153.086682835923 206 1191
537.079112282697 713 11025
383.992429446774 505 5811
140.81295367799 224 1411
4221.79051998623 5932 320356
128.847958053569 207 1125
55.6744271566049 187 1584
99.50634384335 144 637
933.828765299131 1122 21591
57.0496756109 152 822
131.399402767501 179 1034
1155.80445541122 1468 39631
99.50634384335 180 856
1964.61242972768 2208 76489
225.802857182987 281 2217
2863.99669138873 3387 162569
145.432348694127 182 1025
270.074972492688 592 9701
190.082631187938 263 1864
1653.33617462797 1916 60336
1696.71073476481 1864 59798
4105.27454471667 4872 277705
271.728862033763 351 2932
91.4979293780281 148 728
3531.19948408196 4753 219186
65.4909546580768 90 301
504.616370895498 913 11465
139.053736909297 167 885
441.748300512898 621 7644
187.960300926815 237 1641
116.090734483908 207 877
11.4815012126942 23 21
114.401392342749 184 1098
375.062372948012 540 6081
61.3857529736443 183 1243
1229.79635211525 1664 47264
842.936911249609 1196 26597
535.803389925731 764 10637
225.802857182986 339 1972
214.01060321214 322 2989
251.236962072515 343 3289
14.0329459266263 29 37
147.609981158738 305 2888
118.57183903865 268 1881
221.975690112088 298 2106
45.9723810790801 120 784
48.2291883332928 106 471
6.37861178483013 17 11
105.88495562818 169 722
283.210363246458 410 2996
30.8483940336845 56 156
3342.39257525099 3868 211564
746.297578825125 901 15731
6.40654588530967 83 482
531.389452342436 875 11504
142.880903980195 240 1173
722.214618025645 1377 39019
415.921697525073 505 4613
1075.43394692236 1064 18586
99.9354582961595 150 569
234.732913681749 272 1710
56.9822652778158 122 412
785.844971891072 876 15927
24.2387247823545 83 149
218.720356206709 294 2407
357.627500736142 545 6815
47.2017272077429 87 190
1322.42309203215 1361 22988
151.142970956802 232 1553
426.941748797963 461 4234
813.910863744324 820 12289
151.810960478957 195 1049
29.3416142102186 41 75
146.113900092164 183 1011
1165.81223509163 1468 21614
50.8340640013458 113 374
29.7707286630281 55 127
71.4404519900974 162 485
753.486501056369 863 15281
74.8780451446933 182 854
88.0414962118391 151 553
1619.3779396585 2294 71472
417.16121072789 457 4386
176.272964300077 231 1591
1035.88655385641 1060 18779
20.4115577114564 216 680
146.708071051093 189 1074
496.144983380631 1434 37388
106.076787452433 248 1827
60.3187780089792 129 560
186.25546411704 206 1213
466.48914186391 703 8057
311.508125371588 599 9452
126.191487379762 315 3604
182.428297046142 335 2178
1036.72593547569 1500 50375
284.486085603424 381 3034
1440.29054101464 1613 40420
1632.92461691651 1540 34270
57.2405086829324 76 231
96.9548991294179 166 598
609.51716813879 1119 52216
431.194156654517 516 4929
3210.56793169783 3424 136877
1826.83441517535 2226 82139
10011.8690574694 11208 1245113
6.37861178483013 17 11
41.4621435497658 127 1043
485.6249772184 584 7007
80.4895874101938 141 680
3886.70078088982 4738 252711
1227.24490740132 1914 49957
26.7901694962865 45 88
153.631002542913 231 1526
199.958288949743 326 2532
688.039591190343 852 15234
139.053736909297 171 910
1218.95880769448 1823 52704
394.789436019348 543 7256
192.600787292636 557 6523
151.810960478957 273 1705
51.3746468740934 182 1650
343.169314023861 407 3948
1000.16632786136 1424 33276
49.6696732314056 74 198
49.753171921675 97 249
139.026783109026 248 2098
311.508125371588 599 9452
7.65433414179615 14 10
105.893282418772 161 678
79.0947861318936 132 484
493.704552145852 633 8665
561.97157210511 692 10146
49.5861745411362 79 224
69.6678141218887 155 655
56.1317837065051 118 389
567.696448849881 760 10977
436.297046082381 586 7295
22.8516708383626 54 99
501.358886287648 711 9853
39.5473930659468 67 146
177.648927679125 262 2085
382.716707089808 454 5337
16.5843906405583 35 52
155.638127549855 300 1436
0.850481571310684 6 1
83.6889360838329 177 756
109.189309175826 223 1841
17.214422554738 65 187
35.1494141637882 87 576
28741.3271797611 28819 5453586
7.65433414179615 14 10
494.542108318375 910 25006
988.521702935285 1175 25335
462.125720922715 677 10396
1453.0477645843 1759 38550
366.132316449249 607 6910
56.3280925097727 152 856
292.528305370876 706 17021
75.7245664105615 139 656
134.386101555771 297 1745
90.7292392528314 220 846
81.6093386634251 147 687
396.324412230779 529 6139
168.395351119515 190 1082
1579.34427792394 1706 42852
915.811714756227 1262 28856
12.7572235696603 20 20
192.63407590187 295 2334
239.410562323957 339 2818
7.65433414179615 14 10
119.765411189921 229 2001
170.946795833447 308 1567
12.7572235696603 20 20
36.9959483520147 49 100
210.91942968505 286 1998
738.643244683329 871 15081
12.7572235696603 24 26
218.463663745112 332 3465
920.859573538191 1728 74482
75.2676190609955 144 656
132.437552988929 252 1798
91.1778309586312 235 1537
72.7161743470634 115 393
257.270675321482 332 2808
316.133422292593 525 6180
107.169004775738 162 689
76.1181006323062 145 542
67.4004305142352 167 912
699.946333188693 902 15957
1174.86196189102 2033 54262
112.26356741301 220 856
93.1277320585199 155 680
82.005426051382 178 906
61.2346731343692 114 292
837.202560891966 1329 22930
46.7764864220876 105 303
16.5843906405583 31 45
82.8183689500741 177 774
1427.53331744498 1711 49329
1033.58457258923 1268 29425
673.581404478061 764 10407
483.89093337368 659 8487
1058.8495562818 1102 21347
7.65433414179615 14 10
81.6462308458256 162 641
69.5656924939402 170 757
271.728862033763 343 2493
75.2676190609955 99 343
29.3416142102186 77 141
1023.12933028675 1160 23972
404.829227943885 681 8724
160.741016977719 266 1516
50.9623313325985 97 276
794.775028389834 856 13212
778.92940610848 991 20569
284.437435880652 556 13283
3.82716707089808 9 4
236.702205023206 443 6291
8.93005649876218 35 37
170.452024756301 217 1451
55.3337060854243 104 433
563.869281778983 632 8517
1458.15065401217 1729 49473
23.1805333294486 89 188
33.4105284869804 87 252
200.288410043666 249 1496
94.4034544154859 184 844
86.7491202736897 174 548
76.5433414179615 116 395
6.37861178483013 21 16
109.068437493572 178 987
114.633797232127 196 1324
408.231154229128 526 6651
655.18859277501 875 15305
625.954436484663 711 10475
23.1636419284582 81 224
2316.48610346489 3150 203638
82.9219532027917 176 595
258.971638464103 325 2667
156.404096656019 244 2182
25.9396879249758 70 109
6504.90829816976 6955 563454
3555.43820886431 4377 252171
204.966058685875 362 1788
106.735437199491 214 1014
145.203568356405 204 1409
533.251945211799 586 7053
1660.99050876977 1804 42455
649.954286197672 868 13349
63.7861178483013 160 464
187.531186474006 277 1990
68.5060912410801 186 1671
1371.19368173687 1744 45617
45.9260048507769 110 277
56.3422411798154 140 753
112.26356741301 200 883
585.556561847406 651 9058
132.675125124467 198 1091
136.502292195365 175 966
726.944247880017 913 16006
116.352851556179 167 879
143.731385551506 278 1883
229.663432021967 639 14282
6.69252098345961 22 26
470.110469479921 669 8018
251.587168728886 379 3140
97.5760993387354 182 1097
140.267435586965 263 3865
497.61045857058 735 11302
743.363826760379 1649 45140
110.3076140283 194 1323
559.032383090544 656 9899
661.16520577711 947 14765
162.016739334685 201 1126
15.1416709030535 29 41
864.089276451655 964 18546
279.284688048555 706 8085
27.2620037314404 48 123
2630.11425927829 2342 57042
300.219994672671 498 3460
0.850481571310684 9 2
112.102925312507 203 1564
49.3279311360197 98 217
24.2387247823545 53 99
839.425310883645 1286 24956
92.1525502153949 220 1412
59.3129071987051 165 1062
6.84454519143894 25 66
72.7161743470634 115 393
566.420726492915 756 11026
58.2579876347818 142 321
543.457724067527 632 8355
0.330960353449114 38 21
53.1550982069177 104 361
475.844439148328 583 6608
281.934640889492 403 3152
54.0055797782284 92 304
866.493084644196 1894 97171
3.82716707089808 9 4
306.173365671846 381 3533
539.630556996629 853 11256
546.009168781459 940 12680
145.440096028435 177 945
553.523788210701 767 14151
376.338095304978 397 3824
19.5610761401457 43 74
165.843906405583 268 1521
165.843906405583 268 1521
84.8548241116857 173 993
58.6832284204372 112 277
107.160677985146 182 836
33.594022066772 67 164
14.7426496596474 77 232
182.428297046142 279 1924
255.144471393205 332 2811
512.34326902588 699 10993
267.901694962865 354 3089
293.249144721647 369 3642
4304.28723240337 5022 377462
17.8601129975244 34 39
190.413406457506 455 3859
168.820591905171 230 1556
150.535238121991 236 1457
1036.93114847834 1292 32136
3.82716707089808 9 4
537.079112282697 639 7760
1523.91149772079 1800 67042
2124.07772434843 2497 73171
429.716702267986 940 16526
544.324565692353 826 14441
7.65433414179615 14 10
145.432348694127 190 907
8.01178481123769 34 79
7.65433414179615 30 27
328.809403443788 417 4527
6.37861178483013 21 16
55.0269323972321 99 273
637.861178483013 740 11865
410.794219944523 532 6583
196.461242972768 238 1563
274.508379959409 554 6614
197.314880984556 312 2944
52.7298574212624 91 259
88.0248426306558 109 418
134.890799080633 268 2578
55.0864718578992 111 289
2505.51870908127 2670 100774
952.964600653621 1351 17525
39.5473930659468 51 111
115.045474626295 220 1485
177.325407618278 278 2139
43.9071373166407 132 678
80.3705084888596 119 439
3145.93133227822 3428 173100
216.712872118506 508 4084
3.82716707089808 9 4
1201.730460262 1740 48001
36.9959483520147 75 172
623.402991770731 828 12012
179.745435182736 255 1829
636.585456126047 1019 14668
3279.88217975965 3719 189180
1.27572235696603 5 1
159.465294620753 253 1340
217.476659851881 297 2548
299.141125923518 406 4748
273.183202772731 370 3495
9.36986069093554 24 33
276.345107330691 538 7025
46.32728640683 69 196
9.90869337626372 43 56
268.326935748521 373 3364
1611.23733684809 1729 43243
48.6521942795561 65 170
224.101894040365 315 2702
523.134797495505 914 11844
3.82716707089808 13 8
337.341613228829 472 5923
165.843906405583 250 1448
89.8382665066699 177 1087
205.874793883257 306 2180
487.305854798574 781 10939
377.613817661944 458 4922
310.000532742744 373 3001
17.2516080781849 56 107
98.230621486384 151 567
36.9959483520147 72 177
210.494188899394 311 2207
294.691864459152 343 3128
420.988377798788 650 7524
219.642658256659 359 3790
1754.11824082829 2305 82899
338.066424595997 385 3612
107.79556852158 484 7119
250.086307734339 537 8254
39.5473930659468 65 166
158.189572263787 244 1322
256.420193750171 351 3159
90.5371078273331 328 2525
88.0248426306558 146 506
57.4075060634711 101 355
2.55144471393205 16 9
82.9219532027917 141 499
1230.02074721899 2390 142658
62.5103954913352 140 532
207.522281745129 325 2907
253.868749036239 325 2693
68.1452065101992 144 1255
186.25546411704 315 2089
32.318299709806 49 93
137.530462947045 277 2903
122.469346268738 194 1031
81.6462308458256 132 453
257.175337933804 439 4431
731.585022374881 808 10827
310.851014314055 351 2941
82.9834074211375 182 897
24.2387247823545 36 56
76.5433414179615 116 395
973.376158365077 1177 22683
45.4834244250429 122 703
135.226569838399 208 1064
1066.07864963794 1204 27399
264.730179185983 329 2721
148.171203587877 324 2471
76.5433414179615 116 395
67.767407052794 205 1646
204.966058685875 303 2441
2.97668549958739 10 4
193.059316687525 257 1666
109.392779833823 179 1109
1600.14804506725 2024 83729
14.1655258874197 44 121
318.808728935171 417 4699
1.27572235696603 5 1
47.2017272077429 65 172
10.6909976373643 189 278
3779.96534369033 4505 262617
85.4733979167237 175 783
17.995444166041 46 97
33.1409483843602 96 236
15316.3226177341 12836 674353
255.144471393205 394 3217
1672.47200998246 2009 70148
98.230621486384 157 629
63.0814876263419 192 1353
222.703622173801 341 2856
2.55144471393205 12 5
58.2579876347818 87 251
194.335039044491 297 2075
