"Num.Leaves" "mean"
4 3.73584905660377
5 9.1025641025641
6 15.4
7 23.530612244898
8 38
9 52.2264150943396
10 74.9553571428571
11 102.634146341463
12 123.535714285714
13 152.923076923077
14 174.133333333333
15 255.383333333333
16 253.4125
17 292.015625
18 350.10843373494
19 442.619718309859
20 462.663551401869
21 546.26
22 650.56
23 806.467532467532
24 734.116666666667
25 832.591549295775
26 951.424242424242
27 1112.86666666667
28 1070.3125
29 1245.81578947368
30 1307.62711864407
31 1597.90740740741
32 1425.48717948718
33 1664.26829268293
34 1911.89743589744
35 2218.23404255319
36 2125.41666666667
37 2405.21739130435
38 2208.12048192771
39 2811.38461538462
40 2631.56363636364
41 2842.5
42 3406.16216216216
43 3576.15151515152
44 3407.08571428571
45 3705.81395348837
46 4334.16666666667
47 3849.32432432432
48 5585.83333333333
49 4538.85
50 4599.775
51 4846.83870967742
52 4529
53 5602.44
56 6892.09523809524
57 5086.29166666667
59 7761.37142857143
60 7355.83333333333
61 8746.19047619048
63 7030.09523809524
64 10829.2272727273
66 10880.3103448276
67 9415.83333333333
68 8860.91666666667
70 10948.36
72 7840.80434782609
74 13861.4285714286
90 14824.04
93 21491.6923076923
116 39032.5
127 44012.9565217391
297 226089.322580645
