"Num.Leaves" "Colles.Like" "Sackin" "Cophenetic" "Num.Trees"
4 1.86299472443358 0.49874686716792 0.705513784461153 57
5 5.71671054360181 3.02352941176471 6.36078431372549 51
6 10.6683938279088 4.61311475409836 18.2295081967213 61
7 27.5994257364335 12.7891928864569 73.7320109439124 86
8 36.0577979690528 14.3298245614035 136.79298245614 96
9 67.870082039955 30.5795294449141 354.093829247675 169
10 87.0030636046983 45.5395480225989 607.375449409348 177
11 134.439648153966 67.1203967977724 1152.00710059172 170
12 159.322383450984 101.380196653441 1632.3953769191 187
13 241.895414445292 144.052336590169 3109.86806028933 163
14 244.475654950718 147.694672131148 3537.95806604894 184
15 407.179090761037 227.624683009298 5922.50598760214 169
16 503.962744929138 270.469310071372 10074.8822098863 195
17 590.497048561661 330.586790704306 12829.5996578272 168
18 590.98326382701 343.763888446215 15949.7421832669 251
19 1065.48428336423 631.684020100502 26742.2571859296 200
20 795.783886396679 417.888812086501 25452.8673513051 247
21 1169.35973843451 623.893139167596 36164.392419175 208
22 1680.7079811876 990.783421264419 70272.2581373513 212
23 2166.99324719253 1341.71411714224 87611.9738253594 237
24 1781.77156013222 1101.3207154088 75696.7238993711 160
25 2296.36532085574 1385.32940853169 92772.4974421849 218
26 2047.29964526651 1241.75920192638 116995.354078278 324
27 3650.26808986733 2421.49209148526 198290.141416368 191
28 2382.48828399704 1474.31030782892 154743.957451532 233
29 2956.75303729447 1980.59952659426 191238.993483709 190
30 4175.90766890955 2873.94987378291 282001.408510638 236
31 4581.99204997964 3057.21423297352 326617.968390704 239
32 4478.40468233433 2926.17109619687 375618.917270694 150
33 5024.18841608747 3315.90953033692 398003.665969266 167
34 5679.5545632957 3356.09310692817 487369.776139704 214
35 7349.16720772073 4756.45619482268 693944.326013766 164
36 6969.93195496504 4238.6022659511 663529.715265355 130
37 7389.20624307019 4777.65487642445 900043.329473139 233
38 5847.2814560899 3486.40035261852 719057.843003134 248
39 8373.60770686018 5152.85313401521 1030202.81949908 124
40 7534.52657446711 5125.88264044621 758260.422057386 187
41 7447.60723572452 4746.87681686046 1011569.52737403 129
42 13355.6946059201 9257.79237472767 1708102.7328976 136
43 11418.9779640367 7029.78614200171 1480323.12047334 168
44 7692.68793471153 5626.70660257573 1195920.60221295 149
45 12834.6807724837 7589.30283870968 1914118.14541935 125
46 16610.0873328099 9228.25478684016 2364637.45794986 138
47 18454.4285804536 10431.2864646465 3171082.97565657 100
48 21162.6510812834 11516.2583892617 3390849.83076365 149
49 22260.419432263 12144.3258678611 4117325.4774916 95
50 23426.3213719777 14265.4064384999 4256864.17591136 124
51 19277.4935685946 11864.4347975292 3726737.80462137 94
52 18440.8390291453 15262.7164502165 3505296.51913876 133
53 24024.8408537051 16484.0887445887 6271199.06227106 78
54 23698.0850683141 16299.7012125372 6204792.23564402 94
55 20175.9321261734 14386.3456879845 4441576.51174903 129
56 30909.2884353955 19025.4898618866 7378007.35233617 83
57 13559.2526782143 8293.89893439893 4263316.47036297 78
58 23350.2230999449 17362.4655935614 7793314.47082495 71
59 29110.3052175278 15524.3165168165 7348556.8984349 78
60 29188.8767835993 19548.0677655678 7914563.21336996 105
61 26673.4654370815 15669.3516624041 8099463.3316283 69
62 34312.1346733907 24060.7904989747 9752588.42515379 77
63 41469.686648995 23925.7770167428 12080322.9414003 73
64 49362.5872304207 31197.9648684649 13702798.8305028 78
65 47724.8721735346 31745.5536231884 10049879.6405797 46
66 42528.2412246712 23932.0901960784 15678604.9893557 85
67 46879.7174664538 28133.2912429379 13912806.2878531 60
68 30260.5294638292 20794.1253239541 8992926.46075528 74
69 31188.9925645563 23720.6501960784 9835478.89647059 51
70 56509.1443197308 35180.7058641975 22280018.733642 81
71 49386.965293193 29291.6651898734 17940237.0175633 80
72 35497.6508971353 20138.732594235 16355368.097561 165
73 47644.4429002191 30294.9452124936 20734584.2002048 63
74 119218.875330255 62461.6476418318 34817492.1062884 77
75 60536.587232242 39756.9996753247 23721864.8402597 56
76 51050.6425593263 30532.6598465473 19807835.0784314 69
77 46631.8083947633 23178.2173553719 14420590.6338843 121
78 56805.5270308544 34816.5380844646 25343155.1960784 52
80 86860.9790051771 51939.8533653846 44132075.2322115 65
81 84586.9219159023 50978.3546938776 35963880.3689796 50
82 74290.201436784 50471.0664451827 41420953.7297896 43
83 91012.3950208781 53051.2118408881 51994247.7141536 47
84 73959.0738801798 41755.9238498149 33806663.5695399 62
85 94829.5644780992 53921.1063122924 64786871.1849391 43
86 74969.3074902439 49309.4678030303 40749880.1837121 33
88 122176.078329979 66884.8492907801 39920121.2655142 48
89 201436.612017054 114338.387624467 96359143.5625889 38
90 63851.5939785852 35140.8438538206 47973243.8671096 43
91 116872.023253533 87991.4260312945 87316019.6500711 38
93 98627.422125656 60080.5881987578 60585777.1513458 70
94 114677.190046399 79408.0585585586 69727641.048048 37
96 77499.2903013527 53763.5890243902 35337496.1487805 41
99 182283.572280312 120990.273185484 184535475.216734 32
102 123199.033684429 75435.6689795918 71874370.2514286 50
104 100982.404978871 56220.1228070175 95020860.1434837 57
110 114268.251474856 70595.7045454545 96009520.405303 33
115 86835.6582143472 61044.5151209677 113069842.474798 32
116 162615.385187783 79226.8918439716 115181500.240691 48
148 124133.257340419 129648.360071301 318952522.941176 34
243 15013953.4478515 10165050.8444444 74233666506.9968 36
297 173067.589775096 83922.0681818182 791250674.984848 33
