"V1" "V2"
4 0.991359802509772
5 0.987588682908949
6 0.928640900662155
7 0.95798504048148
8 0.934313221554156
9 0.939748441818788
10 0.951166013465188
11 0.905486064750663
12 0.935100096305673
13 0.931901172208838
14 0.914483439057627
15 0.931076941224884
16 0.906761910397523
17 0.933912743049112
18 0.916170371979543
19 0.925564355057893
20 0.88834706554581
21 0.893945572560673
22 0.901042106325316
23 0.947091653478981
24 0.860651967358831
25 0.867158249508739
26 0.903146621834147
27 0.91726314828761
28 0.752620918491682
29 0.907092218463403
30 0.90402923175771
31 0.870308680028166
32 0.819843061189851
33 0.869740515570536
34 0.866022984009766
35 0.8482162047485
36 0.80043999804547
37 0.870170680099755
38 0.858236911586627
39 0.893131284525029
40 0.876587197449848
41 0.791910851120466
42 0.898660318129292
43 0.891384182445286
44 0.810398119326963
45 0.855476695244767
46 0.872240741588647
47 0.824584881105109
48 0.898508475315675
49 0.801010677207625
50 0.868744059575396
51 0.881494462617089
52 0.893046566678232
53 0.888260809155841
54 0.870922528975935
55 0.850396804320541
56 0.902311034613044
57 0.807949616242066
58 0.893691941505293
59 0.919125738353929
60 0.915805324646449
61 0.852050790170823
62 0.815548019034098
63 0.781400658775629
64 0.864368194132395
65 0.758065511072728
66 0.880903049257232
67 0.915518991303891
68 0.858166899956142
69 0.84251968503937
70 0.946818661758293
71 0.799833526770537
72 0.862224858134828
73 0.885795209063415
74 0.771984251674655
75 0.844427734131146
76 0.889059402812206
77 0.846351480664104
78 0.92119530416222
80 0.86474554420576
81 0.925674215583558
82 0.951525218967079
83 0.835005348870172
84 0.733387092709724
85 0.899124131682271
86 0.688784890523149
88 0.889824523279187
89 0.843291748741519
90 0.818497808674626
91 0.888159334646531
93 0.854748261263627
94 0.780464675201517
96 0.695065116735794
99 0.898423175650899
102 0.738337324815613
104 0.91331244324037
110 0.636363636363636
115 0.554903758020165
116 0.885149804602692
148 0.87513389441469
243 0.901892622634222
297 0.80304170080658
