"Num.Leaves" "SpearmanRank"
4 0.978879517246108
5 0.962633460843766
6 0.907370461141253
7 0.930591876595887
8 0.932937773939534
9 0.969574881578383
10 0.961970287988662
11 0.973776031834527
12 0.975022336707496
13 0.980401282758945
14 0.979107426676917
15 0.986272675475437
16 0.971271145752279
17 0.986848341676959
18 0.979799088325061
19 0.986945597566452
20 0.975480151958101
21 0.980385546829425
22 0.984688667082944
23 0.991072391820951
24 0.983809437188809
25 0.989747219448392
26 0.983521414850738
27 0.990780698448937
28 0.94439367471244
29 0.987523417609821
30 0.988189006691475
31 0.985633180115867
32 0.986299422607791
33 0.984826290631858
34 0.97940151329805
35 0.988467102653132
36 0.984906527290826
37 0.972200915415579
38 0.983475027484812
39 0.989522633925686
40 0.986100151793835
41 0.974365211721173
42 0.992861224376641
43 0.984737379444539
44 0.983875080386941
45 0.98861143452205
46 0.989798341743526
47 0.990923004202719
48 0.988149966003179
49 0.984300194366791
50 0.994342698875247
51 0.986745969640381
52 0.990621441541064
53 0.991122072487564
54 0.985885830117253
55 0.984433378056323
56 0.989803576500782
57 0.975634436665765
58 0.981915286206865
59 0.987041405701344
60 0.989316095971879
61 0.976476929486889
62 0.989148225391494
63 0.979711177709804
64 0.983102617469747
65 0.972734562951083
66 0.988872654659924
67 0.991355228725131
68 0.985241082100817
69 0.976603159799887
70 0.989237720379943
71 0.984507166247367
72 0.987418951691846
73 0.987181950249455
74 0.985322440686193
75 0.990565715841048
76 0.989831908012847
77 0.972341501779775
78 0.985122414790365
80 0.983313116801328
81 0.989745683626336
82 0.993355481727575
83 0.988868650484152
84 0.994493794572737
85 0.976703800866502
86 0.975263245863279
88 0.993779371784361
89 0.978001538088951
90 0.982355386653498
91 0.985773692274021
93 0.989649954139847
94 0.978720883706124
96 0.990547546350742
99 0.983498349834984
102 0.973110163327933
104 0.974207422092169
110 0.974933155080214
115 0.966724726767677
116 0.985779418150239
148 0.972220122048838
243 0.993305008368739
297 0.994233662042454
